Name,Class,Attack,AttackBonus,Defense,DefenseBonus,RulesText,FlavorText,Set,ArtPath
King Alric Dacre,King,0,,8,,"When the King is killed, the player who killed him wins the game.
When a player ends their turn and there are no cards left in the deck, you win the game.
When you control both the King and Queen face-up, you win the game.
The King cannot be discarded.","In this time of celebration, we must look to our friends and laugh.",Rulers of Avalot,KingAlric
Queen Beatrice Dacre,Queen,0,,1,down,"When the Queen is killed, the player who killed her gives you all cards they control.","Behind every great man, there's a woman who's really controlling the throne.",Rulers of Avalot,QueenBeatrice
The Avatar of Festivals,Noble,0,,1,,"When this card is flipped up, discard it, then shuffle all cards in play and deal them out as you would at the start of the game, starting with you. ","Eat, drink, dance! Tis a time of merriment and leisure!",Noble Guests,AvatarOfFestivals
Lady Beatrice Serell,Noble,0,,4,,"Beatrice can't be face-down.
During your start phase, discard a card you control other than Beatrice and give her to a player of your choice.","I want this… And that… And, oh! I want that one too!",The Main Cast,BeatriceSorrel
Count Jop Carnell,Noble,6,,2,up,,"There is nothing more valuable than information, my friend.",The Main Cast,CountJop
Lord Snivellous Feck,Noble,1,,1,,"If Feck would be killed, you may instead choose a random card you control. That card is killed instead.","Now, now boys… I'm sure we can work something out.",Noble Guests,SnivelousFeck
Arl Henry Stonebrooke,Noble,5,,2,,,"There goes Arl Stonebrooke… If he asks to dance with, politely decline.",Noble Guests,HenryStonebrooke
Barbarian Lord Jaric,Noble,3,,3,up,,Food good here!,The Main Cast,BarbarianLordJaric
Dante Anderson the Stud,Noble,3,,1,,"If there is another Noble face-up, Dante gains +3 attack and can't be killed.","Oh your majesty, you are one fiesty little tigress.",Noble Guests,TerryTheStud
Sorcerer Theodoric Whitemane,Noble,3,,3,,"During your start phase, you may discard a card you control. If you do, Theodoric gets +5 attack and defense until the start of your next turn (this doesn't count as an action).",Magic is used to benefit the worthy and burn the stupid.,Foreign Powers,Whitemane
Countess Ida Ermintrade,Noble,4,up,3,down,,"She's normally harmless, but watch out if you disturb the Countess's dinner.",Noble Guests,CountessIda
Baron Van Cole,Noble,1,up,6,,,"The older you get, the longer it takes for your body to get in the swing of things.",The Main Cast,BaronVanCole
Prince Hugh Drago,Noble,4,up,1,up,,"The prince is beloved by all, especially his father.",Noble Guests,PrinceHughDrago
Bishop Cornellous Shepard,Noble,0,,2,up,"When Cornellus is flipped up, choose another card from the discard pile and put it into play face-up.",To the faithful come the spoils.,Noble Guests,BishopCornelliusShephard
Gossip Lady Anneliese,Noble,0,,2,,"When Annelise is flipped up, flip up all cards in play.","Did you hear about what she did? I know, right!?",Noble Guests,GossipLadyAvelyn
Advisor Simon Ernest,Noble,0,,2,down,"When Simon is flipped up, each player gives you all Assassins they control.","Behind every throne, there's a schemer.",Assassin's Guild,SimonErnest
Baron Radolf Maynard,Noble,2,,3,,"After Radolf attacks, draw a card.",Every kingdom needs its royal accountant.,The Main Cast,BaronMaynard
Duke Walter the Brave,Noble,3,up,3,up,,"Why, my boy, you are looking at a man who single handedly took on an army of- Eck! A mouse!",Assassin's Guild,DukeWalterBrave
Raz the Shiv,Assassin,1,up,1,,"After Raz attacks a card, kill that card at the beginning of its controller's next start phase.",Every rose has its prick.,Assassin's Guild,MaryTheShiv
"""Ghost"" the Silent Killer",Assassin,5,down,1,,,…,Assassin's Guild,Ghost
"""Two Strikes"" Thomas",Assassin,3,down,2,,,And a one and a two!,Assassin's Guild,TwoStrikesThomas
Sampson the Sneak,Assassin,3,down,2,,,We were hired to kill the king by some fancy rich bloke.,The Main Cast,SampsonTheSneak
Novice Ralf Hicket,Assassin,0,,1,,Ralf's attack is equal to twice the number of cards you control.,"Like most novices, he's only as good as those around him.",Assassin's Guild,RalfHicket
Court Assassin Timm,Assassin,2,down,2,,"After Timm attacks, flip him face-down.",There's an advantage of being the noble's pet killer.,Noble Guests,CourtAssassinTimm
Anfroy of the Exotic Blades,Assassin,3,down,2,,,Even the strongest defense is no match for something never seen before.,Foreign Powers,AnfroyofBlades
Ourri the Nobleslayer,Assassin,6,down,1,,"Ourri can only kill Nobles, Kings, and Queens.",I'm the boogeyman of every land owner's dreams.,Noble Guests,OurriNobleslayer
Looys the Copycat,Assassin,0,,5,down,,I don't think you quite grasp the art of mimicry.,Foreign Powers,LooystheCopycat
Guildmaster le Blanc,Assassin,5,down,1,,,"The target he is, how you say, est mort.",Assassin's Guild,GuildmasterLeBlanc
"Nickie ""the Shredder"" Dickens",Assassin,3,,1,,Ignore all face-up and face-down bonuses of cards Nickie is attacking.,I like to kill things. Why haven't you figured that out by now?,Foreign Powers,NickieDickens
The Black Widow,Assassin,1,,1,,"After a card attacks The Black Widow, kill that card.",Beware the black spider of death.,Assassin's Guild,BlackWidow
Poisoner Roger Baldwin,Assassin,1,up,1,,"After Roger attacks a card, kill that card at the beginning of its controller's next start phase.","They say poison  is a coward's tool, but cowards don't end up dead.",Foreign Powers,RogerBaldwin
Princess Isolda Drago,Assassin,1,,1,,"When Isolda is flipped up, kill a face-up Noble or Soldier of your choice.","Shh, don't tell my father, please.",Assassin's Guild,PrincessIsolda
